"","analyte_abbr","analyte_name","S","block","treatment","C_obs","C_obs_standardized"
"1",1,"NO3","LCS","Block1","CT",8.57095844714667,0.906733903027243
"2",2,"NO2","LCS","Block1","CT",0.0843530182860391,0.362754328256567
"3",3,"TKN","LCS","Block1","CT",4.86312841133734,0.62312795517859
"4",4,"pH","LCS","Block1","CT",6.3632862604961,0.5360232768305
"5",5,"TP","LCS","Block1","CT",0.7604268323141,0.612297788808252
"6",6,"OP","LCS","Block1","CT",0.264693774195426,0.449595810168903
"7",7,"EC","LCS","Block1","CT",0.150115219974389,0.765489237502183
"8",8,"TSS","LCS","Block1","CT",881.068192317381,0.423674217561841
"9",9,"TDS","LCS","Block1","CT",550.921185693852,1.01373992499087
"10",1,"NO3","ISCO","Block1","CT",3.93728590094758,-0.520542438995054
"11",2,"NO2","ISCO","Block1","CT",0.0630486965422349,-0.165038536961647
"12",3,"TKN","ISCO","Block1","CT",4.78664539270111,0.588684863417327
"13",4,"pH","ISCO","Block1","CT",3.36111392988877,-0.563794738874193
"14",5,"TP","ISCO","Block1","CT",0.372121123318263,-0.574311832587791
"15",6,"OP","ISCO","Block1","CT",0.143333933180317,-0.512025477767179
"16",7,"EC","ISCO","Block1","CT",0.0813595039807007,-0.39885376845901
"17",8,"TSS","ISCO","Block1","CT",443.149415716785,-0.573707393303234
"18",9,"TDS","ISCO","Block1","CT",117.177228954761,-1.16808888144078
"19",1,"NO3","GB","Block1","CT",8.75953307142448,0.96481916849518
"20",2,"NO2","GB","Block1","CT",0.153201133457302,2.0683962354758
"21",3,"TKN","GB","Block1","CT",6.69336140592153,1.44734860050614
"22",4,"pH","GB","Block1","CT",9.621869156602,1.72977492734932
"23",5,"TP","GB","Block1","CT",1.10280826442404,1.65856904394801
"24",6,"OP","GB","Block1","CT",0.48073373495863,2.16143576955802
"25",7,"EC","GB","Block1","CT",0.22895193461265,2.10054881728233
"26",8,"TSS","GB","Block1","CT",1313.90617367876,1.40948406669635
"27",9,"TDS","GB","Block1","CT",687.136530861554,1.69893348065277
"28",1,"NO3","GBH","Block1","CT",7.83683691480522,0.680607804380158
"29",2,"NO2","GBH","Block1","CT",0.124600973548313,1.35985641310598
"30",3,"TKN","GBH","Block1","CT",5.36000512403988,0.846889654374142
"31",4,"pH","GBH","Block1","CT",8.44554501232412,1.29883947671065
"32",5,"TP","GBH","Block1","CT",1.03048373372288,1.43755507993785
"33",6,"OP","GBH","Block1","CT",0.411755176098496,1.61486904652813
"34",7,"EC","GBH","Block1","CT",0.173910736245928,1.16845417712327
"35",8,"TSS","GBH","Block1","CT",1300.99102465959,1.38006917785945
"36",9,"TDS","GBH","Block1","CT",514.149566046333,0.828770479861824
"37",1,"NO3","LCS","Block2","CT",4.8155409916205,-0.25001993213247
"38",2,"NO2","LCS","Block2","CT",0.0614909240582348,-0.203630763110672
"39",3,"TKN","LCS","Block2","CT",1.08579235005337,-1.07794418987791
"40",4,"pH","LCS","Block2","CT",4.90361226068922,0.00128523208988783
"41",5,"TP","LCS","Block2","CT",0.580599860020025,0.0627709326039406
"42",6,"OP","LCS","Block2","CT",0.191947135072567,-0.12682812233803
"43",7,"EC","LCS","Block2","CT",0.112581632356995,0.129877061854762
"44",8,"TSS","LCS","Block2","CT",554.659034584685,-0.319738736931022
"45",9,"TDS","LCS","Block2","CT",281.585947779035,-0.341076370520435
"46",1,"NO3","ISCO","Block2","CT",2.83281802588872,-0.86074361913417
"47",2,"NO2","ISCO","Block2","CT",0.0218860682381333,-1.18480071450444
"48",3,"TKN","ISCO","Block2","CT",2.94410126172125,-0.241079935476889
"49",4,"pH","ISCO","Block2","CT",2.05685537973867,-1.04159777368591
"50",5,"TP","ISCO","Block2","CT",0.305564788340221,-0.777698972205276
"51",6,"OP","ISCO","Block2","CT",0.106096263260197,-0.807086313450593
"52",7,"EC","ISCO","Block2","CT",0.0371616105911962,-1.1473225655989
"53",8,"TSS","ISCO","Block2","CT",615.145503958395,-0.181977819877413
"54",9,"TDS","ISCO","Block2","CT",182.144965285866,-0.841286683015859
"55",1,"NO3","GB","Block2","CT",9.68976064659961,1.25135038051043
"56",2,"NO2","GB","Block2","CT",0.122765507472915,1.31438461115918
