location.name,treatment.name,treatment,block,event.type,sample.id,lab.id.x,method,cas.number,analyte,analyte_abbr,result,units,dilution,result.reported.to,mdl,rl,flag,non.detect,duplicate,method.name,event.count,flow.vol.liter,long,lat,collected,received
Kerbel,CT1,CT,1,Outflow,K-CT1-01-LC,HS23071021-01,E300 - 300_W,14797-55-8,"Nitrogen, Nitrate (As N)",NO3,8.86,mg/L,5,RL,0.15,0.5,NA,FALSE,FALSE,Low-Cost Sampler,Irrigation 1,NA,-104.99828,40.67641,7/18/2023 16:00,7/18/2023 13:35
Kerbel,CT1,CT,1,Outflow,K-CT1-01-GB,HS23071021-03,E300 - 300_W,14797-55-8,"Nitrogen, Nitrate (As N)",NO3,8.74,mg/L,5,RL,0.15,0.5,NA,FALSE,FALSE,Grab Sample,Irrigation 1,NA,-104.99828,40.67641,7/18/2023 16:00,7/18/2023 13:35
Kerbel,CT1,CT,1,Outflow,K-CT1-01-GBH,HS23071021-04,E300 - 300_W,14797-55-8,"Nitrogen, Nitrate (As N)",NO3,8.66,mg/L,5,RL,0.15,0.5,NA,FALSE,FALSE,Hourly Grab,Irrigation 1,NA,-104.99828,40.67641,7/18/2023 16:00,7/18/2023 13:35
Kerbel,CT1,CT,1,Outflow,K-CT1-01-GBH,HS23071021-04,E300 - 300_W,14797-55-8,"Nitrogen, Nitrate (As N)",NO3,8.66,mg/L,5,RL,0.15,0.5,NA,FALSE,FALSE,Hourly Grab,Irrigation 1,NA,-104.99828,40.67641,7/18/2023 16:00,7/18/2023 13:35
Kerbel,CT1,CT,1,Outflow,K-CT1-01-ISC,HS23071021-02,E300 - 300_W,14797-55-8,"Nitrogen, Nitrate (As N)",NO3,8.89,mg/L,5,RL,0.15,0.5,NA,FALSE,FALSE,ISCO,Irrigation 1,NA,-104.99828,40.67641,7/18/2023 16:00,7/18/2023 13:35
Kerbel,CT1,CT,1,Outflow,K-CT1-S1-LC,HS23080218-01,E300 - 300_W,14797-55-8,"Nitrogen, Nitrate (As N)",NO3,4.18,mg/L,1,RL,0.03,0.1,NA,FALSE,FALSE,Low-Cost Sampler,Storm 1,NA,-104.99828,40.67641,8/2/2023 2:00,8/3/2023 8:00
Kerbel,CT1,CT,1,Outflow,K-CT1-02-LC,HS23081041-01,E300 - 300_W,14797-55-8,"Nitrogen, Nitrate (As N)",NO3,3.29,mg/L,1,RL,0.03,0.1,NA,FALSE,FALSE,Low-Cost Sampler,Irrigation 2,NA,-104.99828,40.67641,8/16/2023 16:00,8/17/2023 9:50
Kerbel,CT1,CT,1,Outflow,K-CT1-02-ISC,HS23081041-02,E300 - 300_W,14797-55-8,"Nitrogen, Nitrate (As N)",NO3,3.25,mg/L,1,RL,0.03,0.1,NA,FALSE,FALSE,ISCO,Irrigation 2,NA,-104.99828,40.67641,8/16/2023 16:00,8/17/2023 9:50
Kerbel,CT1,CT,1,Outflow,K-CT1-02-GBH,HS23081041-04,E300 - 300_W,14797-55-8,"Nitrogen, Nitrate (As N)",NO3,3.16,mg/L,1,RL,0.03,0.1,NA,FALSE,FALSE,Hourly Grab,Irrigation 2,NA,-104.99828,40.67641,8/16/2023 16:00,8/17/2023 9:50
Kerbel,CT1,CT,1,Outflow,K-CT1-02-GB,HS23081041-03,E300 - 300_W,14797-55-8,"Nitrogen, Nitrate (As N)",NO3,3.39,mg/L,1,RL,0.03,0.1,NA,FALSE,FALSE,Grab Sample,Irrigation 2,NA,-104.99828,40.67641,8/16/2023 16:00,8/17/2023 9:50
