location.name,treatment.name,treatment,block,event.type,sample.id,lab.id.x,method,cas.number,analyte,analyte_abbr,result,units,dilution,result.reported.to,mdl,rl,flag,non.detect,duplicate,method.name,event.count,flow.vol.liter,long,lat,collected,received,notes
Kerbel,CT1,CT,1,Outflow,K-CT1-01-LC-4,NA,E120.1 - COND_W,NA,Specific Conductance,EC,1.561,dS/m,1,RL,5,5,NA,FALSE,FALSE,Low-Cost Sampler,Irrigation 1,NA,NA,NA,7/17/2023 0:00,NA,
Kerbel,CT2,CT,2,Outflow,K-CT2-01-GB-4,NA,E120.1 - COND_W,NA,Specific Conductance,EC,1.598,dS/m,1,RL,5,5,NA,FALSE,FALSE,Grab Sample,Irrigation 1,NA,NA,NA,7/17/2023 0:00,NA,
Kerbel,CT2,CT,2,Outflow,K-CT2-01-GBH-4,NA,E120.1 - COND_W,NA,Specific Conductance,EC,1.6,dS/m,1,RL,5,5,NA,FALSE,FALSE,Hourly Grab,Irrigation 1,NA,NA,NA,7/17/2023 0:00,NA,
Kerbel,CT1,CT,1,Outflow,K-CT1-01-GB-4,NA,E120.1 - COND_W,NA,Specific Conductance,EC,1.602,dS/m,1,RL,5,5,NA,FALSE,FALSE,Grab Sample,Irrigation 1,NA,NA,NA,7/17/2023 0:00,NA,
Kerbel,ST2,ST,2,Outflow,K-ST2-01-ISC-4,NA,E120.1 - COND_W,NA,Specific Conductance,EC,1.603,dS/m,1,RL,5,5,NA,FALSE,FALSE,ISCO,Irrigation 1,NA,NA,NA,7/17/2023 0:00,NA,
Kerbel,ST1,ST,1,Outflow,K-ST1-01-LC-4,NA,E120.1 - COND_W,NA,Specific Conductance,EC,1.604,dS/m,1,RL,5,5,NA,FALSE,FALSE,Low-Cost Sampler,Irrigation 1,NA,NA,NA,7/17/2023 0:00,NA,
Kerbel,MT2,MT,2,Outflow,K-MT2-01-GBH-4-D,NA,E120.1 - COND_W,NA,Specific Conductance,EC,1.606,dS/m,1,RL,5,5,NA,FALSE,TRUE,Hourly Grab,Irrigation 1,NA,NA,NA,7/17/2023 0:00,NA,
Kerbel,CT2,CT,2,Outflow,K-CT2-01-LC-4,NA,E120.1 - COND_W,NA,Specific Conductance,EC,1.607,dS/m,1,RL,5,5,NA,FALSE,FALSE,Low-Cost Sampler,Irrigation 1,NA,NA,NA,7/17/2023 0:00,NA,
Kerbel,MT1,MT,1,Outflow,K-MT1-01-LC-4,NA,E120.1 - COND_W,NA,Specific Conductance,EC,1.607,dS/m,1,RL,5,5,NA,FALSE,FALSE,Low-Cost Sampler,Irrigation 1,NA,NA,NA,7/17/2023 0:00,NA,
Kerbel,ST2,ST,2,Outflow,K-ST2-01-GBH-4,NA,E120.1 - COND_W,NA,Specific Conductance,EC,1.608,dS/m,1,RL,5,5,NA,FALSE,FALSE,Hourly Grab,Irrigation 1,NA,NA,NA,7/17/2023 0:00,NA,
Kerbel,ST2,ST,2,Outflow,K-ST2-01-GB-4,NA,E120.1 - COND_W,NA,Specific Conductance,EC,1.609,dS/m,1,RL,5,5,NA,FALSE,FALSE,Grab Sample,Irrigation 1,NA,NA,NA,7/17/2023 0:00,NA,
Kerbel,ST2,ST,2,Outflow,K-ST2-01-LC-4,NA,E120.1 - COND_W,NA,Specific Conductance,EC,1.609,dS/m,1,RL,5,5,NA,FALSE,FALSE,Low-Cost Sampler,Irrigation 1,NA,NA,NA,7/17/2023 0:00,NA,
