"event.count","analyte_abbr","treatment","block","method.name","result","duplicate"
"Irrigation 1","NO3","CT","1","Low-Cost Sampler",12.564275736911,FALSE
"Irrigation 1","NO3","CT","1","Low-Cost Sampler",11.0035889486806,TRUE
"Irrigation 2","NO3","CT","1","Low-Cost Sampler",9.30448129585715,FALSE
"Irrigation 2","NO3","CT","1","Low-Cost Sampler",7.81060886586079,TRUE
"Irrigation 3","NO3","CT","1","Low-Cost Sampler",8.63403999689586,FALSE
"Irrigation 3","NO3","CT","1","Low-Cost Sampler",8.56562428143923,TRUE
"Irrigation 4","NO3","CT","1","Low-Cost Sampler",8.88363878143299,FALSE
"Irrigation 4","NO3","CT","1","Low-Cost Sampler",7.26620847426057,TRUE
"Irrigation 5","NO3","CT","1","Low-Cost Sampler",6.83491911916332,FALSE
"Irrigation 5","NO3","CT","1","Low-Cost Sampler",5.27542423234476,TRUE
"Irrigation 1","NO2","CT","1","Low-Cost Sampler",0.12524141865225,FALSE
"Irrigation 1","NO2","CT","1","Low-Cost Sampler",0.123269090128255,TRUE
"Irrigation 2","NO2","CT","1","Low-Cost Sampler",0.0841886925806231,FALSE
"Irrigation 2","NO2","CT","1","Low-Cost Sampler",0.101367612259535,TRUE
"Irrigation 3","NO2","CT","1","Low-Cost Sampler",0.101470657872427,FALSE
"Irrigation 3","NO2","CT","1","Low-Cost Sampler",0.0980079283689057,TRUE
"Irrigation 4","NO2","CT","1","Low-Cost Sampler",0.103730530555599,FALSE
"Irrigation 4","NO2","CT","1","Low-Cost Sampler",0.0876952362521117,TRUE
"Irrigation 5","NO2","CT","1","Low-Cost Sampler",0.102745878226641,FALSE
"Irrigation 5","NO2","CT","1","Low-Cost Sampler",0.0893261279802817,TRUE
"Irrigation 1","TKN","CT","1","Low-Cost Sampler",6.74350014590572,FALSE
"Irrigation 1","TKN","CT","1","Low-Cost Sampler",6.1055670448956,TRUE
"Irrigation 2","TKN","CT","1","Low-Cost Sampler",6.02325206499649,FALSE
"Irrigation 2","TKN","CT","1","Low-Cost Sampler",4.5805167947065,TRUE
"Irrigation 3","TKN","CT","1","Low-Cost Sampler",5.02101374896935,FALSE
"Irrigation 3","TKN","CT","1","Low-Cost Sampler",5.47867377034955,TRUE
"Irrigation 4","TKN","CT","1","Low-Cost Sampler",3.46305509980069,FALSE
"Irrigation 4","TKN","CT","1","Low-Cost Sampler",4.55071731964445,TRUE
"Irrigation 5","TKN","CT","1","Low-Cost Sampler",5.65132039242814,FALSE
"Irrigation 5","TKN","CT","1","Low-Cost Sampler",3.783837751568,TRUE
"Irrigation 1","pH","CT","1","Low-Cost Sampler",8.59606826690716,FALSE
"Irrigation 1","pH","CT","1","Low-Cost Sampler",8.89945114018126,TRUE
"Irrigation 2","pH","CT","1","Low-Cost Sampler",7.20139127386161,FALSE
"Irrigation 2","pH","CT","1","Low-Cost Sampler",7.3668293710797,TRUE
"Irrigation 3","pH","CT","1","Low-Cost Sampler",7.44961340517574,FALSE
"Irrigation 3","pH","CT","1","Low-Cost Sampler",7.27998202528168,TRUE
"Irrigation 4","pH","CT","1","Low-Cost Sampler",6.76144709539793,FALSE
